epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.18659,0.831607,0.593032,0.707289
0.1,0.2,0.19489,0.8047,0.586674,0.699773
0.1,0.3,0.19343,0.827285,0.586678,0.696136
0.1,0.4,0.20328,0.84824,0.586719,0.688373
0.1,0.5,0.20283,0.871914,0.592096,0.68239
0.1,0.6,0.19569,0.874035,0.585922,0.677699
0.1,0.7,0.20674,0.905002,0.59116,0.673151
0.1,0.8,0.21508,0.906041,0.583384,0.665116
0.1,0.9,0.22246,0.911048,0.589127,0.668647
0.1,1.0,0.22662,0.908572,0.590439,0.663354
0.2,0.1,0.1495,0.80182,0.641921,0.728169
0.2,0.2,0.15419,0.827207,0.646872,0.721786
0.2,0.3,0.15349,0.812681,0.648153,0.722694
0.2,0.4,0.16509,0.827867,0.638618,0.711317
0.2,0.5,0.1596,0.855872,0.643735,0.705091
0.2,0.6,0.16202,0.881016,0.646904,0.695312
0.2,0.7,0.16669,0.90212,0.647135,0.696573
0.2,0.8,0.16938,0.907185,0.652089,0.687798
0.2,0.9,0.17927,0.92313,0.64868,0.685715
0.2,1.0,0.18763,0.92791,0.646733,0.675778
0.3,0.1,0.12991,0.77964,0.688764,0.752868
0.3,0.2,0.12918,0.823208,0.688348,0.746767
0.3,0.3,0.13508,0.849278,0.689319,0.738927
0.3,0.4,0.13551,0.840719,0.690078,0.730053
0.3,0.5,0.13614,0.835365,0.690436,0.723369
0.3,0.6,0.1436,0.880884,0.694213,0.717043
0.3,0.7,0.14498,0.898787,0.6951,0.715135
0.3,0.8,0.15239,0.897286,0.68773,0.699855
0.3,0.9,0.16461,0.91906,0.687608,0.698616
0.3,1.0,0.16627,0.919097,0.686196,0.690375
0.4,0.1,0.10728,0.81403,0.732844,0.779198
0.4,0.2,0.11371,0.810546,0.71674,0.760686
0.4,0.3,0.11773,0.821665,0.722126,0.754192
0.4,0.4,0.1235,0.836287,0.724711,0.749849
0.4,0.5,0.12165,0.83975,0.729351,0.742143
0.4,0.6,0.12915,0.889485,0.720206,0.727669
0.4,0.7,0.12812,0.894172,0.72508,0.726861
0.4,0.8,0.13088,0.906437,0.724063,0.720774
0.4,0.9,0.15036,0.919205,0.7247,0.709164
