epsilon,lambda,CTX,SSI,ERR(RA)
1.0,0.6,0.07327,0.912577,0.855639
1.0,0.7,0.07962,0.919529,0.857686
1.0,0.8,0.08353,0.925079,0.851996
1.0,0.9,0.09515,0.944524,0.853059
1.0,1.0,0.08626,0.92499,0.855406
1.1,0.1,0.06471,0.824654,0.865909
1.1,0.2,0.06587,0.843338,0.866541
1.1,0.3,0.06334,0.842129,0.864634
1.1,0.4,0.06561,0.861398,0.864618
1.1,0.5,0.06796,0.868061,0.867016
1.1,0.6,0.07088,0.889494,0.868437
1.1,0.7,0.07082,0.912099,0.867427
1.1,0.8,0.08292,0.922429,0.863454
1.1,0.9,0.08716,0.928138,0.86686
1.1,1.0,0.09877,0.939364,0.866794
1.2,0.1,0.05863,0.826846,0.876985
1.2,0.2,0.05972,0.822179,0.876773
1.2,0.3,0.0597,0.848839,0.878422
1.2,0.4,0.06768,0.85305,0.878429
1.2,0.5,0.07331,0.887909,0.877574
1.2,0.6,0.0746,0.893584,0.880837
1.2,0.7,0.07379,0.912964,0.883457
1.2,0.8,0.08617,0.905446,0.882101
1.2,0.9,0.08223,0.934642,0.877602
1.2,1.0,0.10185,0.939033,0.885037
1.3,0.1,0.05289,0.846109,0.889179
1.3,0.2,0.05734,0.875584,0.891874
1.3,0.3,0.0614,0.84932,0.889096
1.3,0.4,0.06954,0.864473,0.888709
1.3,0.5,0.06792,0.861422,0.892848
1.3,0.6,0.07057,0.899255,0.886101
1.3,0.7,0.07709,0.914677,0.892002
1.3,0.8,0.08718,0.909901,0.889038
1.3,0.9,0.07922,0.907559,0.887637
1.3,1.0,0.09174,0.932897,0.889631
1.4,0.1,0.05726,0.830748,0.897882
1.4,0.2,0.05622,0.845568,0.9033
1.4,0.3,0.05906,0.852241,0.902323
1.4,0.4,0.05597,0.849657,0.903723
1.4,0.5,0.05768,0.877281,0.896286
1.4,0.6,0.06445,0.908561,0.900184
1.4,0.7,0.07585,0.905917,0.898748
1.4,0.8,0.07896,0.931223,0.901283
1.4,0.9,0.08515,0.92697,0.900734
1.4,1.0,0.09209,0.934199,0.897806
1.5,0.1,0.05843,0.838125,0.907391
1.5,0.2,0.05711,0.836711,0.910058
1.5,0.3,0.04197,0.870704,0.910291
1.5,0.4,0.0659,0.860591,0.909745
1.5,0.5,0.06399,0.883446,0.910433
1.5,0.6,0.0666,0.901836,0.910593
1.5,0.7,0.07131,0.911696,0.910444
1.5,0.8,0.07128,0.922488,0.905705
1.5,0.9,0.07644,0.931489,0.90764
1.5,1.0,0.08404,0.92825,0.912906
1.6,0.1,0.05375,0.846797,0.919875
1.6,0.2,0.05456,0.844567,0.918971
1.6,0.3,0.05723,0.836942,0.919475
1.6,0.4,0.06073,0.867912,0.913041
1.6,0.5,0.06844,0.870802,0.920322
1.6,0.6,0.06625,0.89583,0.916801
1.6,0.7,0.06381,0.917462,0.918537
1.6,0.8,0.07725,0.920892,0.916354
1.6,0.9,0.05961,0.945931,0.914907
1.6,1.0,0.07415,0.93489,0.919409
1.7,0.1,0.05412,0.838855,0.925683
1.7,0.2,0.05391,0.838716,0.92328
1.7,0.3,0.05925,0.853407,0.92708
1.7,0.4,0.05831,0.870691,0.92598
1.7,0.5,0.06259,0.869384,0.926343
1.7,0.6,0.06658,0.907908,0.922963
1.7,0.7,0.07095,0.901216,0.927228
1.7,0.8,0.06866,0.910724,0.921333
1.7,0.9,0.08247,0.917256,0.921325
1.7,1.0,0.09537,0.936098,0.92739
1.8,0.1,0.04918,0.837808,0.935426
1.8,0.2,0.05481,0.849769,0.929983
1.8,0.3,0.05832,0.854476,0.933329
1.8,0.4,0.06195,0.855152,0.932113
1.8,0.5,0.06019,0.876522,0.932307
1.8,0.6,0.04623,0.899529,0.933122
1.8,0.7,0.0703,0.908384,0.932482
1.8,0.8,0.07316,0.923799,0.933778
1.8,0.9,0.08138,0.925214,0.9317
1.8,1.0,0.08742,0.935698,0.936019
1.9,0.1,0.04989,0.821072,0.939792
1.9,0.2,0.05101,0.841206,0.937507
1.9,0.3,0.05627,0.834547,0.937845
1.9,0.4,0.0586,0.881786,0.939603
1.9,0.5,0.06047,0.885657,0.935659
1.9,0.6,0.059,0.91257,0.939435
1.9,0.7,0.06539,0.897141,0.935699
1.9,0.8,0.07152,0.91322,0.937976
1.9,0.9,0.06656,0.931402,0.935962
1.9,1.0,0.08333,0.934162,0.937204
2.0,0.1,0.05142,0.833859,0.940437
2.0,0.2,0.05343,0.844979,0.942077
2.0,0.3,0.03896,0.858387,0.945365
2.0,0.4,0.05789,0.873501,0.945289
2.0,0.5,0.05854,0.8651,0.945914
2.0,0.6,0.06472,0.90415,0.939605
2.0,0.7,0.06925,0.903896,0.944312
2.0,0.8,0.06951,0.922315,0.945068
2.0,0.9,0.06813,0.925974,0.943148
2.0,1.0,0.08008,0.940054,0.944098
2.1,0.1,0.04802,0.832116,0.949813
2.1,0.2,0.05008,0.855739,0.951053
2.1,0.3,0.05884,0.849889,0.949999
2.1,0.4,0.05975,0.868091,0.947345
2.1,0.5,0.05254,0.87377,0.950265
2.1,0.6,0.05647,0.909669,0.946055
2.1,0.7,0.07025,0.91309,0.950213
2.1,0.8,0.06937,0.919805,0.948374
2.1,0.9,0.0691,0.931255,0.94937
2.1,1.0,0.07959,0.932097,0.950539
2.2,0.1,0.04747,0.857232,0.953747
2.2,0.2,0.05035,0.842972,0.953998
2.2,0.3,0.05029,0.848593,0.955399
2.2,0.4,0.0418,0.87987,0.952313
2.2,0.5,0.06043,0.881404,0.953106
2.2,0.6,0.06015,0.897663,0.952866
2.2,0.7,0.06062,0.909449,0.952439
2.2,0.8,0.07575,0.916785,0.952694
2.2,0.9,0.07284,0.926308,0.952238
2.2,1.0,0.07905,0.924999,0.952689
2.3,0.1,0.04839,0.831469,0.9591
2.3,0.2,0.04917,0.835612,0.957288
2.3,0.3,0.05519,0.849933,0.955641
2.3,0.4,0.05579,0.866587,0.959378
2.3,0.5,0.0399,0.888244,0.958039
2.3,0.6,0.06172,0.90665,0.958198
2.3,0.7,0.06638,0.906731,0.959251
2.3,0.8,0.07228,0.91723,0.960893
2.3,0.9,0.0662,0.93503,0.958798
2.3,1.0,0.08806,0.931293,0.958303
2.4,0.1,0.04889,0.846497,0.962902
2.4,0.2,0.04888,0.842753,0.963377
2.4,0.3,0.05202,0.845945,0.96192
2.4,0.4,0.05247,0.866712,0.961411
2.4,0.5,0.05913,0.88267,0.962453
2.4,0.6,0.05716,0.893925,0.962732
2.4,0.7,0.04927,0.897394,0.959447
2.4,0.8,0.07519,0.911062,0.959177
2.4,0.9,0.06613,0.924035,0.960883
2.4,1.0,0.08446,0.928923,0.963238
2.5,0.1,0.04908,0.835007,0.965413
2.5,0.2,0.04593,0.838782,0.96514
2.5,0.3,0.04922,0.842597,0.962257
2.5,0.4,0.05597,0.879044,0.96511
2.5,0.5,0.0538,0.858912,0.965554
2.5,0.6,0.05565,0.905879,0.964043
2.5,0.7,0.06891,0.907447,0.964515
2.5,0.8,0.05521,0.917937,0.966598
2.5,0.9,0.07713,0.933151,0.966134
2.5,1.0,0.08968,0.937569,0.962324
2.6,0.1,0.04764,0.836936,0.969069
2.6,0.2,0.04921,0.838855,0.970639
2.6,0.3,0.05153,0.859158,0.966751
2.6,0.4,0.05426,0.870029,0.966041
2.6,0.5,0.04081,0.868655,0.970273
2.6,0.6,0.06202,0.909888,0.969105
2.6,0.7,0.06853,0.901428,0.967923
2.6,0.8,0.07402,0.921152,0.970418
2.6,0.9,0.06774,0.924165,0.968239
2.6,1.0,0.07506,0.937301,0.969851
2.7,0.1,0.04819,0.838493,0.968488
2.7,0.2,0.04609,0.846928,0.971409
2.7,0.3,0.05331,0.853588,0.969822
2.7,0.4,0.05596,0.863621,0.971713
2.7,0.5,0.05812,0.874687,0.971493
2.7,0.6,0.04577,0.900326,0.968772
2.7,0.7,0.06639,0.90065,0.968559
2.7,0.8,0.06334,0.918471,0.972617
2.7,0.9,0.08118,0.921881,0.971245
2.7,1.0,0.07282,0.930705,0.971886
2.8,0.1,0.04592,0.826702,0.973356
2.8,0.2,0.03519,0.826513,0.975359
2.8,0.3,0.03984,0.854256,0.976209
2.8,0.4,0.05599,0.873192,0.975344
2.8,0.5,0.05494,0.868237,0.972357
2.8,0.6,0.05257,0.893973,0.972746
2.8,0.7,0.05725,0.89966,0.97412
2.8,0.8,0.06192,0.907469,0.974999
2.8,0.9,0.0472,0.920982,0.97231
2.8,1.0,0.07141,0.928176,0.973362
2.9,0.1,0.04228,0.849261,0.975343
2.9,0.2,0.04686,0.834445,0.977386
2.9,0.3,0.05052,0.843786,0.975783
2.9,0.4,0.05492,0.869944,0.977711
2.9,0.5,0.05332,0.879882,0.977879
2.9,0.6,0.0496,0.892461,0.974748
2.9,0.7,0.06558,0.911388,0.977761
2.9,0.8,0.06189,0.917386,0.976539
2.9,0.9,0.06322,0.937059,0.977427
2.9,1.0,0.06495,0.939786,0.977297
3.0,0.1,0.04522,0.84789,0.977782
3.0,0.2,0.04716,0.86264,0.977931
3.0,0.3,0.04966,0.845555,0.979675
3.0,0.4,0.05696,0.871704,0.977312
3.0,0.5,0.05653,0.856175,0.978024
3.0,0.6,0.05189,0.896481,0.978694
3.0,0.7,0.06523,0.916784,0.977628
3.0,0.8,0.063,0.907538,0.978556
3.0,0.9,0.07155,0.919356,0.976577
3.0,1.0,0.07934,0.934264,0.980131
3.1,0.1,0.03699,0.853173,0.979865
3.1,0.2,0.04616,0.839599,0.980546
3.1,0.3,0.05362,0.851353,0.980271
3.1,0.4,0.05077,0.8647,0.979969
3.1,0.5,0.05789,0.869787,0.982569
3.1,0.6,0.04296,0.891346,0.981709
3.1,0.7,0.06469,0.907571,0.980742
3.1,0.8,0.06241,0.909939,0.982635
3.1,0.9,0.07975,0.933092,0.980216
3.1,1.0,0.07448,0.936237,0.98017
3.2,0.1,0.04181,0.834066,0.982281
3.2,0.2,0.04807,0.836049,0.982959
3.2,0.3,0.03689,0.84783,0.98084
3.2,0.4,0.05154,0.846061,0.981098
3.2,0.5,0.03967,0.861715,0.982406
3.2,0.6,0.03965,0.898534,0.983927
3.2,0.7,0.0611,0.9133,0.98354
3.2,0.8,0.06806,0.918969,0.98207
3.2,0.9,0.07955,0.926854,0.981895
3.2,1.0,0.08114,0.932306,0.98313
3.3,0.1,0.04604,0.830599,0.983372
3.3,0.2,0.04729,0.841226,0.983776
3.3,0.3,0.04885,0.860314,0.983233
3.3,0.4,0.05153,0.865899,0.98455
3.3,0.5,0.04244,0.87435,0.983769
3.3,0.6,0.05802,0.891655,0.984088
3.3,0.7,0.04266,0.917641,0.984227
3.3,0.8,0.06664,0.905646,0.984055
3.3,0.9,0.06947,0.923241,0.982921
3.3,1.0,0.07857,0.924386,0.983694
3.4,0.1,0.04326,0.834125,0.986524
3.4,0.2,0.04641,0.839153,0.98749
3.4,0.3,0.03505,0.845966,0.985117
3.4,0.4,0.05301,0.854714,0.985049
3.4,0.5,0.0482,0.874219,0.986176
3.4,0.6,0.04701,0.896556,0.985314
3.4,0.7,0.05898,0.910196,0.985581
3.4,0.8,0.06425,0.91356,0.98558
3.4,0.9,0.07552,0.927659,0.984993
3.4,1.0,0.08555,0.930967,0.984009
3.5,0.1,0.04167,0.839523,0.986395
3.5,0.2,0.04557,0.839093,0.985517
3.5,0.3,0.03934,0.856353,0.987851
3.5,0.4,0.03039,0.871632,0.986451
3.5,0.5,0.05207,0.872979,0.985938
3.5,0.6,0.05115,0.899605,0.987172
3.5,0.7,0.05759,0.912387,0.986969
3.5,0.8,0.06828,0.906459,0.985002
3.5,0.9,0.07799,0.930349,0.98831
3.5,1.0,0.07849,0.918022,0.988329
3.6,0.1,0.04171,0.843721,0.988817
3.6,0.2,0.04334,0.849847,0.98865
3.6,0.3,0.054,0.847448,0.988621
3.6,0.4,0.05734,0.859052,0.987987
3.6,0.5,0.05265,0.892978,0.987063
3.6,0.6,0.05568,0.897668,0.989078
3.6,0.7,0.05463,0.908038,0.990183
3.6,0.8,0.05159,0.924517,0.989058
3.6,0.9,0.06016,0.935034,0.988178
3.6,1.0,0.08323,0.940922,0.988953
3.7,0.1,0.04883,0.82185,0.989672
3.7,0.2,0.04436,0.83734,0.988281
3.7,0.3,0.03523,0.850339,0.989333
3.7,0.4,0.05067,0.864098,0.988696
3.7,0.5,0.05619,0.866387,0.986689
3.7,0.6,0.05479,0.898256,0.989734
3.7,0.7,0.06116,0.903411,0.988707
3.7,0.8,0.05941,0.91969,0.990873
3.7,0.9,0.06201,0.929784,0.989328
3.7,1.0,0.07857,0.923982,0.989639
3.8,0.1,0.04411,0.817282,0.989926
3.8,0.2,0.04595,0.846272,0.99011
3.8,0.3,0.05173,0.841041,0.990796
3.8,0.4,0.03589,0.870739,0.991318
3.8,0.5,0.05231,0.87596,0.990424
3.8,0.6,0.05239,0.894951,0.990593
3.8,0.7,0.06256,0.899176,0.990784
3.8,0.8,0.06406,0.922382,0.989736
3.8,0.9,0.04623,0.923868,0.990788
3.8,1.0,0.07529,0.932088,0.990544
3.9,0.1,0.04596,0.834945,0.99076
3.9,0.2,0.04589,0.840304,0.991693
3.9,0.3,0.03131,0.830707,0.992169
3.9,0.4,0.05236,0.838404,0.991978
3.9,0.5,0.05358,0.877297,0.991444
3.9,0.6,0.05099,0.900487,0.990957
3.9,0.7,0.05268,0.91065,0.991046
3.9,0.8,0.07089,0.908294,0.989423
3.9,0.9,0.05994,0.92475,0.990567
3.9,1.0,0.0786,0.931258,0.990911
4.0,0.1,0.04827,0.815086,0.992222
4.0,0.2,0.04267,0.844283,0.992683
4.0,0.3,0.05065,0.838257,0.991399
4.0,0.4,0.04649,0.852367,0.991729
4.0,0.5,0.04594,0.8817,0.991696
4.0,0.6,0.05537,0.891081,0.992354
4.0,0.7,0.04462,0.913569,0.991207
4.0,0.8,0.06542,0.913001,0.992137
4.0,0.9,0.07328,0.931089,0.992356
4.0,1.0,0.06883,0.933477,0.991839
4.1,0.1,0.04502,0.832597,0.993332
4.1,0.2,0.04451,0.847482,0.992545
4.1,0.3,0.04927,0.838616,0.993788
4.1,0.4,0.05485,0.860112,0.992873
4.1,0.5,0.05263,0.869617,0.993501
4.1,0.6,0.05744,0.885901,0.99219
4.1,0.7,0.06386,0.9047,0.992158
4.1,0.8,0.06517,0.921416,0.993537
4.1,0.9,0.068,0.927627,0.992427
4.1,1.0,0.07088,0.934335,0.993226
4.2,0.1,0.04609,0.823243,0.994088
4.2,0.2,0.03353,0.842669,0.993143
4.2,0.3,0.04774,0.852916,0.993128
4.2,0.4,0.05088,0.854169,0.994025
4.2,0.5,0.05492,0.888603,0.993483
4.2,0.6,0.05561,0.898281,0.993326
4.2,0.7,0.04468,0.906784,0.993084
4.2,0.8,0.0516,0.919275,0.994331
4.2,0.9,0.06503,0.918282,0.993285
4.2,1.0,0.06698,0.934736,0.993432
4.3,0.1,0.04233,0.833593,0.994327
4.3,0.2,0.04635,0.836816,0.993588
4.3,0.3,0.05015,0.851371,0.993314
4.3,0.4,0.0385,0.852168,0.994688
4.3,0.5,0.05677,0.871373,0.993931
4.3,0.6,0.05288,0.899821,0.994741
4.3,0.7,0.05797,0.912019,0.994191
4.3,0.8,0.05984,0.9084,0.994067
4.3,0.9,0.07586,0.925757,0.994263
4.3,1.0,0.0726,0.932718,0.994502
4.4,0.1,0.04731,0.830598,0.994869
4.4,0.2,0.04289,0.853435,0.994411
4.4,0.3,0.05119,0.848484,0.99429
4.4,0.4,0.05017,0.869583,0.994095
4.4,0.5,0.04416,0.872018,0.994857
4.4,0.6,0.05161,0.89455,0.994954
4.4,0.7,0.06185,0.902864,0.993459
4.4,0.8,0.06243,0.91189,0.994362
4.4,0.9,0.07912,0.932742,0.99486
4.4,1.0,0.06905,0.928817,0.993699
4.5,0.1,0.04574,0.813035,0.995471
4.5,0.2,0.04614,0.839843,0.995641
4.5,0.3,0.04659,0.855428,0.995092
4.5,0.4,0.05408,0.865707,0.994973
4.5,0.5,0.03582,0.878945,0.995017
4.5,0.6,0.04146,0.894666,0.995096
4.5,0.7,0.05306,0.907057,0.994269
4.5,0.8,0.0659,0.906726,0.994789
4.5,0.9,0.06107,0.927313,0.994907
4.5,1.0,0.08645,0.925371,0.994938
4.6,0.1,0.04435,0.836889,0.995434
4.6,0.2,0.04489,0.840961,0.996087
4.6,0.3,0.04951,0.84487,0.995559
4.6,0.4,0.03741,0.863597,0.995295
4.6,0.5,0.05441,0.874376,0.995118
4.6,0.6,0.04973,0.887845,0.995743
4.6,0.7,0.05513,0.902354,0.995703
4.6,0.8,0.06311,0.928081,0.99614
4.6,0.9,0.04587,0.941755,0.995845
4.6,1.0,0.06392,0.92836,0.99594
4.7,0.1,0.04313,0.826465,0.996131
4.7,0.2,0.04472,0.844094,0.996566
4.7,0.3,0.04969,0.862906,0.995962
4.7,0.4,0.05593,0.853824,0.996033
4.7,0.5,0.05285,0.872268,0.994434
4.7,0.6,0.05426,0.890752,0.996174
4.7,0.7,0.06349,0.913535,0.995457
4.7,0.8,0.0631,0.908683,0.995897
4.7,0.9,0.07383,0.933052,0.99654
4.7,1.0,0.07775,0.950419,0.996719
4.8,0.1,0.04558,0.822345,0.996702
4.8,0.2,0.04489,0.839845,0.996076
4.8,0.3,0.03501,0.847692,0.996105
4.8,0.4,0.05393,0.862241,0.99739
4.8,0.5,0.05071,0.889952,0.996645
4.8,0.6,0.05849,0.887657,0.99574
4.8,0.7,0.06216,0.915825,0.996474
4.8,0.8,0.06367,0.910572,0.996236
4.8,0.9,0.06757,0.923368,0.996255
4.8,1.0,0.07609,0.936707,0.995557
4.9,0.1,0.04275,0.829685,0.996934
4.9,0.2,0.04863,0.846421,0.99682
4.9,0.3,0.0505,0.852295,0.996931
4.9,0.4,0.04864,0.866613,0.996896
4.9,0.5,0.0555,0.870652,0.996232
4.9,0.6,0.05485,0.891464,0.997155
4.9,0.7,0.05678,0.899467,0.996784
4.9,0.8,0.05963,0.915692,0.997182
4.9,0.9,0.0636,0.917915,0.997116
4.9,1.0,0.07073,0.930347,0.996856
5.0,0.1,0.04203,0.811667,0.996529
5.0,0.2,0.04606,0.844346,0.997135
5.0,0.3,0.04867,0.854331,0.997105
5.0,0.4,0.05341,0.862647,0.996433
5.0,0.5,0.05375,0.874668,0.997181
5.0,0.6,0.05401,0.890468,0.997451
5.0,0.7,0.05842,0.907221,0.996878
5.0,0.8,0.06373,0.915806,0.996427
5.0,0.9,0.06396,0.928904,0.997255
5.0,1.0,0.08125,0.926258,0.997128
