epsilon,lambda,CTX,SSI,ERR(RA)
0.1,0.1,0.1533,0.844744,0.590889
0.1,0.2,0.15976,0.849265,0.584187
0.1,0.3,0.16002,0.862065,0.587706
0.1,0.4,0.16723,0.877673,0.58855
0.1,0.5,0.17099,0.899864,0.590142
0.1,0.6,0.16187,0.928263,0.592068
0.1,0.7,0.17216,0.892255,0.597307
0.1,0.8,0.16849,0.932288,0.588283
0.1,0.9,0.1729,0.920256,0.592106
0.1,1.0,0.18353,0.940965,0.590772
0.2,0.1,0.12012,0.844818,0.646833
0.2,0.2,0.12808,0.86717,0.646214
0.2,0.3,0.12188,0.857197,0.652014
0.2,0.4,0.13692,0.880209,0.638907
0.2,0.5,0.11629,0.887943,0.650109
0.2,0.6,0.12673,0.904378,0.65206
0.2,0.7,0.13541,0.92361,0.649928
0.2,0.8,0.11979,0.932945,0.648545
0.2,0.9,0.1385,0.93467,0.648946
0.2,1.0,0.15648,0.942268,0.646493
0.3,0.1,0.10474,0.838553,0.693546
0.3,0.2,0.10348,0.840798,0.694948
0.3,0.3,0.1113,0.849885,0.69546
0.3,0.4,0.11722,0.864281,0.690828
0.3,0.5,0.11436,0.891738,0.690731
0.3,0.6,0.1127,0.904789,0.696262
0.3,0.7,0.12605,0.91198,0.688314
0.3,0.8,0.13028,0.927035,0.691771
0.3,0.9,0.13685,0.93265,0.68918
0.3,1.0,0.13507,0.928472,0.691143
0.4,0.1,0.08596,0.827195,0.725746
0.4,0.2,0.09408,0.843949,0.722094
0.4,0.3,0.09829,0.84323,0.726234
0.4,0.4,0.10167,0.863099,0.72508
0.4,0.5,0.09986,0.868365,0.730486
0.4,0.6,0.10658,0.898532,0.727756
0.4,0.7,0.10358,0.929892,0.729777
0.4,0.8,0.10801,0.925822,0.723601
0.4,0.9,0.11058,0.929596,0.724354
0.4,1.0,0.12669,0.947346,0.724782
0.5,0.1,0.08439,0.84149,0.752434
0.5,0.2,0.08755,0.844657,0.754496
0.5,0.3,0.09295,0.851768,0.751206
0.5,0.4,0.0876,0.860259,0.754345
0.5,0.5,0.0906,0.88906,0.753586
0.5,0.6,0.09648,0.888089,0.755374
0.5,0.7,0.08456,0.912853,0.751818
0.5,0.8,0.09229,0.933604,0.757955
0.5,0.9,0.11645,0.94676,0.749927
0.5,1.0,0.12339,0.944897,0.754526
0.6,0.1,0.07532,0.850681,0.78068
0.6,0.2,0.08055,0.842401,0.777511
0.6,0.3,0.08357,0.871094,0.779447
0.6,0.4,0.08366,0.901892,0.777674
0.6,0.5,0.08553,0.887985,0.7811
0.6,0.6,0.09221,0.912371,0.781516
0.6,0.7,0.09055,0.907227,0.787502
0.6,0.8,0.10186,0.914934,0.777024
0.6,0.9,0.0958,0.941279,0.782093
0.6,1.0,0.10569,0.940523,0.782576
0.7,0.1,0.07409,0.847556,0.8061
0.7,0.2,0.07819,0.844222,0.794716
0.7,0.3,0.07361,0.87406,0.802029
0.7,0.4,0.0837,0.855878,0.808827
0.7,0.5,0.08315,0.872585,0.798605
0.7,0.6,0.08825,0.895009,0.807672
0.7,0.7,0.08674,0.915405,0.801185
0.7,0.8,0.0941,0.90879,0.80178
0.7,0.9,0.09572,0.935992,0.804947
0.7,1.0,0.10341,0.930485,0.799613
0.8,0.1,0.06797,0.843775,0.826659
0.8,0.2,0.07473,0.842423,0.823275
0.8,0.3,0.07017,0.877373,0.829784
0.8,0.4,0.07304,0.853232,0.81947
0.8,0.5,0.0823,0.875907,0.824725
0.8,0.6,0.08185,0.893325,0.818313
0.8,0.7,0.08556,0.920278,0.821201
0.8,0.8,0.08098,0.913849,0.824175
0.8,0.9,0.09738,0.916768,0.820052
0.8,1.0,0.09598,0.931706,0.823066
0.9,0.1,0.06712,0.830332,0.841644
0.9,0.2,0.07045,0.858787,0.838159
0.9,0.3,0.0705,0.838834,0.84193
0.9,0.4,0.07348,0.874402,0.833185
0.9,0.5,0.07963,0.889011,0.83649
0.9,0.6,0.08064,0.901323,0.838301
0.9,0.7,0.08473,0.906251,0.834959
0.9,0.8,0.09135,0.916201,0.836626
0.9,0.9,0.09935,0.927072,0.83988
0.9,1.0,0.0993,0.941036,0.840801
1.0,0.1,0.05561,0.812388,0.85405
1.0,0.2,0.06625,0.845158,0.855465
1.0,0.3,0.06971,0.841723,0.847587
1.0,0.4,0.06827,0.868314,0.85536
1.0,0.5,0.071,0.875695,0.857321
