epsilon,lambda,CTX,SSI,ERR(RA)
0.1,0.1,0.1852,0.815437,0.593327
0.1,0.2,0.18907,0.844212,0.588761
0.1,0.3,0.18758,0.832969,0.58521
0.1,0.4,0.20208,0.849411,0.588281
0.1,0.5,0.19626,0.8789,0.589888
0.1,0.6,0.19603,0.891133,0.589141
0.1,0.7,0.21184,0.889714,0.583571
0.1,0.8,0.21105,0.91091,0.589432
0.1,0.9,0.22192,0.912983,0.585254
0.1,1.0,0.23075,0.910826,0.589357
0.2,0.1,0.14742,0.802534,0.647733
0.2,0.2,0.15029,0.822118,0.646421
0.2,0.3,0.1543,0.825231,0.646529
0.2,0.4,0.16164,0.82334,0.647994
0.2,0.5,0.16113,0.845243,0.64789
0.2,0.6,0.16638,0.887759,0.650655
0.2,0.7,0.1711,0.909123,0.647684
0.2,0.8,0.17642,0.907966,0.64473
0.2,0.9,0.17824,0.908081,0.646568
0.2,1.0,0.19331,0.913638,0.643401
0.3,0.1,0.12479,0.797362,0.688904
0.3,0.2,0.12752,0.79785,0.68924
0.3,0.3,0.13494,0.824884,0.692313
0.3,0.4,0.1339,0.854516,0.691697
0.3,0.5,0.13835,0.844574,0.687235
0.3,0.6,0.14204,0.888608,0.691374
0.3,0.7,0.14009,0.884715,0.68811
0.3,0.8,0.15342,0.911343,0.693598
0.3,0.9,0.1598,0.929138,0.68914
0.3,1.0,0.16913,0.914455,0.687014
0.4,0.1,0.10703,0.79831,0.726184
0.4,0.2,0.11486,0.836819,0.730177
0.4,0.3,0.11612,0.805598,0.727781
0.4,0.4,0.12472,0.831276,0.718308
0.4,0.5,0.12515,0.84951,0.725761
0.4,0.6,0.12878,0.885341,0.728728
0.4,0.7,0.12809,0.897204,0.720815
0.4,0.8,0.13388,0.905549,0.72818
0.4,0.9,0.1439,0.917265,0.728399
0.4,1.0,0.15417,0.917977,0.722858
0.5,0.1,0.09863,0.797805,0.753082
0.5,0.2,0.10154,0.816553,0.753925
0.5,0.3,0.10433,0.817783,0.758266
0.5,0.4,0.10869,0.833856,0.757967
0.5,0.5,0.11221,0.838032,0.757192
0.5,0.6,0.11319,0.87432,0.758602
0.5,0.7,0.11937,0.886557,0.75572
0.5,0.8,0.12593,0.904386,0.760654
0.5,0.9,0.13601,0.917173,0.753612
0.5,1.0,0.14123,0.913617,0.755782
0.6,0.1,0.09524,0.799305,0.781054
0.6,0.2,0.09717,0.81341,0.779693
0.6,0.3,0.09834,0.807523,0.78083
0.6,0.4,0.10336,0.840234,0.777234
0.6,0.5,0.10252,0.850251,0.782666
0.6,0.6,0.11096,0.86186,0.781511
0.6,0.7,0.11022,0.897094,0.777486
0.6,0.8,0.12005,0.904144,0.782275
0.6,0.9,0.12685,0.915826,0.785207
0.6,1.0,0.13585,0.932767,0.782982
0.7,0.1,0.08422,0.798768,0.799156
0.7,0.2,0.08665,0.80886,0.80228
0.7,0.3,0.08955,0.840804,0.804361
0.7,0.4,0.09721,0.8318,0.804045
0.7,0.5,0.09605,0.845663,0.799625
0.7,0.6,0.10177,0.886573,0.800258
0.7,0.7,0.10945,0.892115,0.797686
0.7,0.8,0.11352,0.901269,0.797697
0.7,0.9,0.12168,0.926609,0.803883
0.7,1.0,0.12773,0.913872,0.806266
0.8,0.1,0.07986,0.80509,0.826807
0.8,0.2,0.08331,0.80107,0.820118
0.8,0.3,0.08659,0.826309,0.823218
0.8,0.4,0.08994,0.844417,0.820649
0.8,0.5,0.09322,0.851876,0.819877
0.8,0.6,0.09704,0.890891,0.827013
0.8,0.7,0.09442,0.893766,0.81686
0.8,0.8,0.10916,0.911596,0.81858
0.8,0.9,0.11401,0.915009,0.825457
0.8,1.0,0.12802,0.928882,0.82608
0.9,0.1,0.07899,0.799318,0.833266
0.9,0.2,0.07939,0.808713,0.84087
0.9,0.3,0.0834,0.833986,0.835897
0.9,0.4,0.08657,0.840627,0.838922
0.9,0.5,0.08999,0.843612,0.844229
0.9,0.6,0.09164,0.876074,0.843394
0.9,0.7,0.10024,0.885795,0.838993
0.9,0.8,0.10538,0.905281,0.840534
0.9,0.9,0.11469,0.926131,0.837309
0.9,1.0,0.1233,0.915209,0.841014
1.0,0.1,0.07323,0.801231,0.858559
1.0,0.2,0.07987,0.8054,0.850235
1.0,0.3,0.07932,0.826718,0.854738
1.0,0.4,0.07991,0.845022,0.854292
1.0,0.5,0.08797,0.829171,0.845372
1.0,0.6,0.09119,0.866573,0.855905
1.0,0.7,0.09401,0.89774,0.855558
1.0,0.8,0.10238,0.901524,0.853631
1.0,0.9,0.10929,0.922243,0.856132
1.0,1.0,0.11813,0.927408,0.852058
1.1,0.1,0.07456,0.788887,0.866679
1.1,0.2,0.07395,0.787907,0.864466
1.1,0.3,0.07842,0.824057,0.869267
1.1,0.4,0.08203,0.82413,0.866561
1.1,0.5,0.08308,0.855378,0.865309
1.1,0.6,0.08802,0.87311,0.864445
1.1,0.7,0.09349,0.888614,0.866006
1.1,0.8,0.10138,0.905465,0.865143
1.1,0.9,0.10862,0.915389,0.869734
1.1,1.0,0.11491,0.933213,0.867502
1.2,0.1,0.06908,0.817476,0.882795
1.2,0.2,0.07529,0.81703,0.877793
1.2,0.3,0.07569,0.815158,0.878039
1.2,0.4,0.07735,0.835357,0.879374
1.2,0.5,0.08178,0.846338,0.879044
1.2,0.6,0.08362,0.877035,0.878484
1.2,0.7,0.0871,0.883774,0.881676
1.2,0.8,0.09365,0.908706,0.881499
1.2,0.9,0.10507,0.923094,0.882777
1.2,1.0,0.11513,0.933753,0.880006
1.3,0.1,0.0654,0.793833,0.88656
1.3,0.2,0.07054,0.803897,0.891451
1.3,0.3,0.07203,0.820649,0.891313
1.3,0.4,0.07671,0.835056,0.890983
1.3,0.5,0.08167,0.845313,0.889299
1.3,0.6,0.08184,0.880918,0.896252
1.3,0.7,0.08994,0.897899,0.89003
1.3,0.8,0.0961,0.889066,0.891782
1.3,0.9,0.10625,0.910763,0.886983
1.3,1.0,0.11186,0.919968,0.890495
1.4,0.1,0.06425,0.810871,0.90137
1.4,0.2,0.07142,0.804857,0.897607
1.4,0.3,0.07151,0.813923,0.898823
1.4,0.4,0.07549,0.838725,0.901466
1.4,0.5,0.07817,0.851101,0.899567
1.4,0.6,0.08409,0.880437,0.899528
1.4,0.7,0.08854,0.899368,0.905286
1.4,0.8,0.09407,0.896205,0.900037
1.4,0.9,0.10236,0.917142,0.902657
1.4,1.0,0.10823,0.923807,0.901452
1.5,0.1,0.06505,0.780241,0.910106
1.5,0.2,0.06365,0.791948,0.910575
1.5,0.3,0.06977,0.806533,0.909457
1.5,0.4,0.07374,0.824314,0.909248
1.5,0.5,0.0733,0.841098,0.907884
1.5,0.6,0.07983,0.87763,0.907661
1.5,0.7,0.08554,0.895984,0.910962
1.5,0.8,0.09147,0.892475,0.91195
1.5,0.9,0.10286,0.919762,0.910576
1.5,1.0,0.10855,0.921216,0.913547
1.6,0.1,0.06627,0.797671,0.916329
1.6,0.2,0.06444,0.80465,0.916453
1.6,0.3,0.07011,0.820228,0.917807
1.6,0.4,0.0769,0.838229,0.914238
1.6,0.5,0.07807,0.849717,0.915986
1.6,0.6,0.08046,0.874951,0.918769
1.6,0.7,0.08522,0.889435,0.919805
1.6,0.8,0.09182,0.905562,0.919169
1.6,0.9,0.09959,0.907591,0.922028
1.6,1.0,0.10945,0.935655,0.920273
1.7,0.1,0.05891,0.799019,0.927051
1.7,0.2,0.06348,0.811396,0.923531
1.7,0.3,0.0665,0.81256,0.926615
1.7,0.4,0.06985,0.842653,0.926189
1.7,0.5,0.07011,0.846557,0.924606
1.7,0.6,0.07608,0.866969,0.926086
1.7,0.7,0.08354,0.89572,0.923083
1.7,0.8,0.08883,0.89007,0.926743
1.7,0.9,0.09847,0.912982,0.922711
1.7,1.0,0.1093,0.914649,0.922946
