epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.18569,0.815376,0.594757,0.707592
0.1,0.2,0.19169,0.812212,0.587127,0.700991
0.1,0.3,0.19677,0.837403,0.588357,0.696073
0.1,0.4,0.19959,0.841322,0.59447,0.68824
0.1,0.5,0.1986,0.848033,0.593102,0.686795
0.1,0.6,0.20488,0.874334,0.591894,0.67827
0.1,0.7,0.20245,0.904421,0.587688,0.673741
0.1,0.8,0.21043,0.908121,0.58925,0.673382
0.1,0.9,0.21576,0.918575,0.592172,0.665766
0.1,1.0,0.22994,0.929072,0.590326,0.662464
0.2,0.1,0.1489,0.818364,0.64249,0.731494
0.2,0.2,0.14696,0.814994,0.645494,0.723338
0.2,0.3,0.15744,0.810747,0.642715,0.714257
0.2,0.4,0.16441,0.837501,0.643166,0.709479
0.2,0.5,0.16145,0.850902,0.650311,0.708524
0.2,0.6,0.16407,0.882349,0.646346,0.70027
0.2,0.7,0.17109,0.890584,0.640596,0.69394
0.2,0.8,0.17249,0.913176,0.644366,0.686297
0.2,0.9,0.18402,0.915477,0.644039,0.68284
0.2,1.0,0.18716,0.935952,0.645544,0.677028
0.3,0.1,0.12752,0.818858,0.691861,0.753027
0.3,0.2,0.12996,0.824945,0.695885,0.744073
0.3,0.3,0.1375,0.828297,0.686559,0.739015
0.3,0.4,0.13556,0.84454,0.683239,0.734234
0.3,0.5,0.13891,0.84534,0.689821,0.717093
0.3,0.6,0.14311,0.880528,0.692348,0.723074
0.3,0.7,0.14696,0.894804,0.692827,0.711178
0.3,0.8,0.15003,0.910881,0.688532,0.707871
0.3,0.9,0.16324,0.911294,0.692551,0.697268
0.3,1.0,0.16541,0.926318,0.687065,0.691077
0.4,0.1,0.10868,0.815152,0.72479,0.769015
0.4,0.2,0.11596,0.800659,0.725694,0.763994
0.4,0.3,0.12004,0.819049,0.728576,0.755441
0.4,0.4,0.12373,0.827633,0.725923,0.74652
0.4,0.5,0.11915,0.848913,0.726129,0.740032
0.4,0.6,0.12734,0.887246,0.722995,0.728036
0.4,0.7,0.12767,0.89568,0.725208,0.724816
0.4,0.8,0.13788,0.898408,0.726473,0.714783
0.4,0.9,0.14203,0.920468,0.720186,0.708467
0.4,1.0,0.15185,0.926875,0.726512,0.700532
0.5,0.1,0.1043,0.799099,0.752449,0.78776
0.5,0.2,0.09979,0.790269,0.761983,0.782442
0.5,0.3,0.10495,0.819393,0.754927,0.774853
0.5,0.4,0.10788,0.855134,0.756314,0.769046
0.5,0.5,0.11616,0.8492,0.756944,0.753176
0.5,0.6,0.11392,0.885551,0.755916,0.743612
0.5,0.7,0.12175,0.896695,0.75426,0.73662
0.5,0.8,0.12982,0.915616,0.759365,0.734642
0.5,0.9,0.13519,0.923937,0.756121,0.718902
0.5,1.0,0.14267,0.920987,0.755642,0.712774
0.6,0.1,0.09058,0.825437,0.779177,0.796866
0.6,0.2,0.09243,0.797901,0.779449,0.792228
0.6,0.3,0.09947,0.831827,0.780125,0.776417
0.6,0.4,0.09935,0.833217,0.783223,0.778534
0.6,0.5,0.10411,0.852797,0.780819,0.768615
0.6,0.6,0.10819,0.888341,0.779006,0.751343
0.6,0.7,0.11179,0.895133,0.778501,0.742495
0.6,0.8,0.11796,0.902368,0.781647,0.736929
0.6,0.9,0.12777,0.920659,0.781627,0.732147
0.6,1.0,0.13422,0.917826,0.782986,0.717912
0.7,0.1,0.08702,0.809186,0.804151,0.819378
0.7,0.2,0.08902,0.803645,0.797027,0.796664
0.7,0.3,0.09428,0.818819,0.802476,0.798759
0.7,0.4,0.09488,0.836192,0.803688,0.781916
0.7,0.5,0.09854,0.834726,0.805417,0.77407
0.7,0.6,0.10179,0.869321,0.803691,0.762706
0.7,0.7,0.10852,0.888881,0.805392,0.758706
0.7,0.8,0.11402,0.899315,0.805582,0.746207
0.7,0.9,0.12088,0.921303,0.803984,0.741154
0.7,1.0,0.12898,0.927843,0.802902,0.730462
0.8,0.1,0.08197,0.787444,0.821524,0.828691
0.8,0.2,0.08013,0.796465,0.822742,0.817929
0.8,0.3,0.09033,0.833783,0.821652,0.802416
0.8,0.4,0.08867,0.856798,0.823463,0.792129
0.8,0.5,0.09573,0.848143,0.82489,0.7826
0.8,0.6,0.09882,0.869996,0.822504,0.770183
0.8,0.7,0.103,0.886033,0.819612,0.761464
0.8,0.8,0.1107,0.909345,0.823103,0.754931
0.8,0.9,0.11675,0.920407,0.825108,0.746479
0.8,1.0,0.1265,0.932504,0.821951,0.734808
0.9,0.1,0.07759,0.789018,0.840827,0.838935
0.9,0.2,0.07915,0.795283,0.843142,0.820676
0.9,0.3,0.08429,0.818134,0.839927,0.807974
0.9,0.4,0.09028,0.834104,0.83645,0.798642
0.9,0.5,0.08806,0.846708,0.842456,0.793105
0.9,0.6,0.0952,0.882081,0.833963,0.777608
0.9,0.7,0.09473,0.899869,0.834547,0.767084
0.9,0.8,0.10157,0.904748,0.843168,0.763311
0.9,0.9,0.11591,0.922399,0.836976,0.753446
0.9,1.0,0.12562,0.924059,0.835385,0.736079
1.0,0.1,0.07585,0.801567,0.85188,0.844743
1.0,0.2,0.08035,0.79939,0.854636,0.837411
1.0,0.3,0.0786,0.817813,0.85795,0.827965
1.0,0.4,0.08423,0.836842,0.854601,0.813858
1.0,0.5,0.08675,0.847653,0.855975,0.800278
1.0,0.6,0.08917,0.879622,0.853789,0.781349
1.0,0.7,0.09782,0.889385,0.853513,0.782205
1.0,0.8,0.1041,0.91,0.852134,0.763695
1.0,0.9,0.11007,0.906362,0.851888,0.756757
1.0,1.0,0.11683,0.935416,0.855149,0.749325
