epsilon,lambda,CTX,SSI,ESR,NMI
0.9,0.6,0.08335,0.889061,0.839007,0.779251
0.9,0.7,0.09221,0.896604,0.833629,0.767272
0.9,0.8,0.10043,0.913368,0.835597,0.759174
0.9,0.9,0.10474,0.919775,0.83868,0.75503
0.9,1.0,0.11806,0.936214,0.839043,0.744136
1.0,0.1,0.07099,0.819765,0.853646,0.849705
1.0,0.2,0.06807,0.819718,0.857572,0.830172
1.0,0.3,0.07974,0.82122,0.852543,0.828695
1.0,0.4,0.08488,0.838514,0.852382,0.810591
1.0,0.5,0.08493,0.860402,0.851657,0.803633
1.0,0.6,0.08028,0.887569,0.850799,0.784311
1.0,0.7,0.08558,0.901557,0.857515,0.77592
1.0,0.8,0.10037,0.899379,0.854996,0.76448
1.0,0.9,0.10564,0.925571,0.850679,0.755983
1.0,1.0,0.11362,0.930613,0.853311,0.751507
