epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.17939,0.841062,0.588091,0.704023
0.1,0.2,0.17227,0.835865,0.594127,0.701228
0.1,0.3,0.18716,0.836582,0.58934,0.697252
0.1,0.4,0.17728,0.863779,0.592473,0.691805
0.1,0.5,0.18758,0.889635,0.585723,0.690494
0.1,0.6,0.19704,0.888738,0.584593,0.678147
0.1,0.7,0.1934,0.911233,0.592024,0.674348
0.1,0.8,0.20064,0.90978,0.591868,0.671195
0.1,0.9,0.2053,0.921517,0.586147,0.665918
0.1,1.0,0.20192,0.917815,0.594676,0.663069
0.2,0.1,0.14252,0.813934,0.644333,0.736388
0.2,0.2,0.14185,0.842007,0.644335,0.721162
0.2,0.3,0.14722,0.835136,0.646583,0.720454
0.2,0.4,0.14661,0.84038,0.647559,0.71623
0.2,0.5,0.14632,0.861744,0.649571,0.703706
0.2,0.6,0.14731,0.903299,0.644281,0.704267
0.2,0.7,0.15712,0.905646,0.649963,0.693487
0.2,0.8,0.16479,0.91339,0.645454,0.687664
0.2,0.9,0.16943,0.924758,0.644511,0.685296
0.2,1.0,0.17823,0.930062,0.646414,0.676149
0.3,0.1,0.1107,0.834784,0.688275,0.760799
0.3,0.2,0.12057,0.827838,0.691328,0.741879
0.3,0.3,0.12005,0.813211,0.692174,0.742111
0.3,0.4,0.12384,0.855047,0.690987,0.730057
0.3,0.5,0.12924,0.856519,0.688048,0.722538
0.3,0.6,0.13181,0.907882,0.691754,0.724092
0.3,0.7,0.1393,0.908814,0.695184,0.710478
0.3,0.8,0.13798,0.918494,0.686497,0.705237
0.3,0.9,0.1514,0.917276,0.686208,0.694002
0.3,1.0,0.1572,0.92489,0.685412,0.693618
0.4,0.1,0.10941,0.7913,0.721905,0.769051
0.4,0.2,0.10304,0.822367,0.728655,0.763605
0.4,0.3,0.11286,0.819904,0.724383,0.755745
0.4,0.4,0.11185,0.847363,0.729446,0.74865
0.4,0.5,0.11847,0.858301,0.72275,0.735239
0.4,0.6,0.11769,0.880681,0.730078,0.729667
0.4,0.7,0.12735,0.910177,0.723975,0.722541
0.4,0.8,0.12183,0.90494,0.72728,0.716408
0.4,0.9,0.13615,0.91988,0.72941,0.711948
0.4,1.0,0.14282,0.938224,0.726258,0.696675
0.5,0.1,0.09706,0.826065,0.754452,0.789451
0.5,0.2,0.0978,0.831485,0.752917,0.774943
0.5,0.3,0.09999,0.836911,0.759206,0.770879
0.5,0.4,0.10865,0.850521,0.757331,0.765032
0.5,0.5,0.10811,0.853585,0.755301,0.750832
0.5,0.6,0.10877,0.891397,0.758582,0.747803
0.5,0.7,0.11226,0.900804,0.75994,0.740288
0.5,0.8,0.11633,0.910425,0.757192,0.726394
0.5,0.9,0.12403,0.91938,0.755747,0.718218
0.5,1.0,0.13913,0.918501,0.751198,0.713913
0.6,0.1,0.07942,0.810928,0.784415,0.807426
0.6,0.2,0.09043,0.809373,0.774225,0.78498
0.6,0.3,0.09239,0.826452,0.783681,0.785316
0.6,0.4,0.09513,0.867099,0.776721,0.77332
0.6,0.5,0.09799,0.843914,0.783363,0.762811
0.6,0.6,0.10106,0.871309,0.781145,0.755777
0.6,0.7,0.1079,0.900814,0.780215,0.7481
0.6,0.8,0.11588,0.901217,0.778294,0.734968
0.6,0.9,0.11863,0.919073,0.781242,0.7234
0.6,1.0,0.1251,0.928183,0.779041,0.719821
0.7,0.1,0.08599,0.809734,0.800724,0.816843
0.7,0.2,0.08039,0.823852,0.806162,0.807235
0.7,0.3,0.08725,0.84148,0.80114,0.787804
0.7,0.4,0.09164,0.847312,0.802115,0.785202
0.7,0.5,0.09056,0.871034,0.805464,0.771294
0.7,0.6,0.1002,0.887911,0.802773,0.758654
0.7,0.7,0.10157,0.907073,0.80462,0.756349
0.7,0.8,0.10394,0.907106,0.803192,0.750518
0.7,0.9,0.11704,0.915408,0.800688,0.736405
0.7,1.0,0.12374,0.932469,0.805424,0.729113
0.8,0.1,0.07679,0.807598,0.823823,0.831497
0.8,0.2,0.08143,0.828508,0.826607,0.816326
0.8,0.3,0.08507,0.831801,0.821611,0.79935
0.8,0.4,0.0844,0.844575,0.821216,0.795608
0.8,0.5,0.08585,0.863344,0.8226,0.783332
0.8,0.6,0.09232,0.872738,0.820996,0.771135
0.8,0.7,0.09656,0.891775,0.819153,0.764999
0.8,0.8,0.10126,0.905488,0.822934,0.753621
0.8,0.9,0.1029,0.923187,0.820566,0.742334
0.8,1.0,0.11739,0.930907,0.82219,0.737203
0.9,0.1,0.07485,0.82792,0.840066,0.839984
0.9,0.2,0.07668,0.82475,0.835935,0.822671
0.9,0.3,0.07714,0.830889,0.83823,0.815297
0.9,0.4,0.08205,0.842695,0.838801,0.805288
0.9,0.5,0.08546,0.852784,0.838702,0.789837
