epsilon,lambda,CTX,SSI,ERR(RA)
0.1,0.1,0.18072,0.815826,0.592498
0.1,0.2,0.17062,0.838025,0.593593
0.1,0.3,0.19258,0.83626,0.585798
0.1,0.4,0.18858,0.851411,0.587096
0.1,0.5,0.19157,0.85948,0.583633
0.1,0.6,0.19198,0.889139,0.590078
0.1,0.7,0.18811,0.904025,0.593261
0.1,0.8,0.19765,0.900506,0.595151
0.1,0.9,0.20585,0.932268,0.581968
0.1,1.0,0.21243,0.930737,0.584656
0.2,0.1,0.13763,0.836019,0.643494
0.2,0.2,0.14313,0.818622,0.649716
0.2,0.3,0.14433,0.831191,0.651927
0.2,0.4,0.14962,0.829644,0.64918
0.2,0.5,0.1483,0.860206,0.649735
0.2,0.6,0.15658,0.892276,0.649296
0.2,0.7,0.15085,0.896464,0.651771
0.2,0.8,0.16375,0.909326,0.646849
0.2,0.9,0.17347,0.915284,0.644983
0.2,1.0,0.17126,0.93311,0.647409
0.3,0.1,0.121,0.792926,0.684533
0.3,0.2,0.11982,0.826678,0.692561
0.3,0.3,0.12608,0.824471,0.692039
0.3,0.4,0.13009,0.871564,0.692001
0.3,0.5,0.13136,0.860771,0.695129
0.3,0.6,0.13252,0.889168,0.689053
0.3,0.7,0.14005,0.91561,0.690017
0.3,0.8,0.13548,0.910428,0.691265
0.3,0.9,0.14978,0.911494,0.690326
0.3,1.0,0.15825,0.933189,0.690049
0.4,0.1,0.10699,0.82549,0.726884
0.4,0.2,0.11005,0.822274,0.728048
0.4,0.3,0.11317,0.836116,0.724222
0.4,0.4,0.12006,0.833665,0.720116
0.4,0.5,0.1149,0.859671,0.724933
0.4,0.6,0.11819,0.885411,0.727856
0.4,0.7,0.12847,0.907119,0.727275
0.4,0.8,0.13136,0.912056,0.724264
0.4,0.9,0.13694,0.923345,0.723659
0.4,1.0,0.14469,0.926091,0.729402
0.5,0.1,0.09416,0.815328,0.756176
0.5,0.2,0.09918,0.83653,0.754311
0.5,0.3,0.10179,0.823202,0.755637
0.5,0.4,0.10642,0.827435,0.752335
0.5,0.5,0.10685,0.860062,0.752171
0.5,0.6,0.11144,0.897672,0.75012
0.5,0.7,0.11446,0.897644,0.761593
0.5,0.8,0.12452,0.904031,0.747683
0.5,0.9,0.12642,0.908671,0.7543
0.5,1.0,0.13944,0.938866,0.755255
0.6,0.1,0.08811,0.817408,0.783091
0.6,0.2,0.08977,0.825868,0.777617
0.6,0.3,0.09538,0.844055,0.779361
0.6,0.4,0.09449,0.848272,0.77874
0.6,0.5,0.09519,0.868027,0.779848
0.6,0.6,0.09947,0.888787,0.785741
0.6,0.7,0.10822,0.888182,0.785026
0.6,0.8,0.11668,0.906188,0.784068
0.6,0.9,0.12149,0.921923,0.782276
0.6,1.0,0.13111,0.904364,0.782301
0.7,0.1,0.08434,0.82291,0.803168
0.7,0.2,0.08225,0.820991,0.801842
0.7,0.3,0.08169,0.84329,0.803774
0.7,0.4,0.08809,0.859502,0.807451
0.7,0.5,0.09656,0.865035,0.806643
0.7,0.6,0.09791,0.889727,0.79665
0.7,0.7,0.10114,0.893278,0.804591
0.7,0.8,0.10566,0.909034,0.803584
0.7,0.9,0.11512,0.93516,0.803763
0.7,1.0,0.1245,0.923815,0.80688
0.8,0.1,0.07664,0.826358,0.822282
0.8,0.2,0.07921,0.808104,0.823351
0.8,0.3,0.08288,0.830372,0.823067
0.8,0.4,0.08465,0.847264,0.823014
