epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.15943,0.835623,0.582637,0.703021
0.1,0.2,0.1612,0.84609,0.591583,0.701725
0.1,0.3,0.16236,0.871151,0.586218,0.694944
0.1,0.4,0.16862,0.871102,0.585163,0.688575
0.1,0.5,0.16324,0.874259,0.595843,0.689622
0.1,0.6,0.15895,0.912271,0.585886,0.679847
0.1,0.7,0.16286,0.932499,0.588114,0.674874
0.1,0.8,0.1814,0.913003,0.584777,0.66858
0.1,0.9,0.18592,0.929231,0.587074,0.663691
0.1,1.0,0.18185,0.933831,0.588879,0.664011
0.2,0.1,0.12232,0.828482,0.64876,0.734046
0.2,0.2,0.12781,0.828089,0.652132,0.727483
0.2,0.3,0.12812,0.861986,0.645515,0.718563
0.2,0.4,0.13151,0.88783,0.648318,0.714714
0.2,0.5,0.13651,0.865777,0.645287,0.708497
0.2,0.6,0.13201,0.897624,0.645126,0.701417
0.2,0.7,0.14506,0.921782,0.63854,0.690486
0.2,0.8,0.1499,0.933921,0.644721,0.690341
0.2,0.9,0.15109,0.934192,0.644544,0.682052
0.2,1.0,0.14606,0.951073,0.653377,0.679202
0.3,0.1,0.10183,0.872064,0.686943,0.754717
0.3,0.2,0.11078,0.850002,0.689347,0.744275
0.3,0.3,0.10426,0.850351,0.685873,0.731158
0.3,0.4,0.11583,0.883199,0.692725,0.733341
0.3,0.5,0.11203,0.900115,0.69605,0.726185
0.3,0.6,0.11827,0.900649,0.695429,0.718917
0.3,0.7,0.12361,0.917393,0.687945,0.708689
0.3,0.8,0.12601,0.915134,0.691809,0.704687
0.3,0.9,0.13638,0.929134,0.687241,0.697032
0.3,1.0,0.13692,0.936683,0.694758,0.6865
0.4,0.1,0.0938,0.868787,0.725354,0.772322
0.4,0.2,0.09098,0.837888,0.726742,0.765944
0.4,0.3,0.08693,0.8498,0.721002,0.751093
0.4,0.4,0.10077,0.883944,0.72552,0.744284
0.4,0.5,0.09969,0.883993,0.726693,0.734166
0.4,0.6,0.10777,0.919529,0.724195,0.729547
0.4,0.7,0.11001,0.915134,0.719802,0.722002
0.4,0.8,0.11293,0.918227,0.727675,0.717767
0.4,0.9,0.11056,0.938211,0.718911,0.708285
0.4,1.0,0.13241,0.934378,0.720485,0.700968
0.5,0.1,0.07483,0.829068,0.756625,0.792779
0.5,0.2,0.08172,0.834593,0.755673,0.777452
0.5,0.3,0.08447,0.848754,0.755183,0.768885
0.5,0.4,0.08708,0.877315,0.752992,0.76021
0.5,0.5,0.09313,0.889766,0.75806,0.75264
0.5,0.6,0.07352,0.9113,0.757318,0.738748
0.5,0.7,0.10384,0.893015,0.753681,0.733896
0.5,0.8,0.10642,0.923918,0.756205,0.72987
0.5,0.9,0.10509,0.938512,0.757076,0.72217
0.5,1.0,0.12014,0.939526,0.75254,0.721606
0.6,0.1,0.07196,0.838829,0.784236,0.802947
0.6,0.2,0.07789,0.853619,0.775642,0.789966
0.6,0.3,0.08389,0.874549,0.783228,0.782718
0.6,0.4,0.08682,0.867937,0.781533,0.771901
0.6,0.5,0.08441,0.880549,0.782583,0.76133
0.6,0.6,0.08566,0.917469,0.780917,0.749379
0.6,0.7,0.09932,0.913703,0.783503,0.750146
0.6,0.8,0.09935,0.924278,0.775031,0.738644
0.6,0.9,0.10524,0.936705,0.777439,0.726904
0.6,1.0,0.11728,0.953903,0.784181,0.718346
0.7,0.1,0.0721,0.833421,0.802472,0.811859
0.7,0.2,0.07591,0.854333,0.803595,0.808531
0.7,0.3,0.0773,0.848465,0.804645,0.794721
0.7,0.4,0.08307,0.869332,0.80615,0.779116
0.7,0.5,0.07298,0.870745,0.804125,0.773564
0.7,0.6,0.06997,0.920771,0.807447,0.769228
0.7,0.7,0.09435,0.905216,0.803394,0.753976
0.7,0.8,0.09041,0.919563,0.800364,0.746013
0.7,0.9,0.10252,0.927486,0.807112,0.738597
0.7,1.0,0.10816,0.93427,0.80294,0.733885
0.8,0.1,0.06577,0.85436,0.817793,0.827993
0.8,0.2,0.0688,0.8506,0.81822,0.81245
0.8,0.3,0.06273,0.862926,0.821375,0.808257
0.8,0.4,0.05843,0.862363,0.825718,0.796804
0.8,0.5,0.07811,0.870458,0.822349,0.781466
0.8,0.6,0.07999,0.909447,0.82518,0.77493
0.8,0.7,0.09153,0.906157,0.819701,0.764937
0.8,0.8,0.0884,0.926351,0.822374,0.758705
0.8,0.9,0.10261,0.932253,0.820679,0.745241
0.8,1.0,0.10538,0.934505,0.823362,0.738299
0.9,0.1,0.06852,0.85294,0.839434,0.834954
0.9,0.2,0.06495,0.81866,0.842738,0.828903
0.9,0.3,0.07545,0.853055,0.838649,0.817659
0.9,0.4,0.07201,0.849131,0.83917,0.801478
0.9,0.5,0.07189,0.869595,0.84101,0.790692
0.9,0.6,0.08079,0.895183,0.837436,0.781925
0.9,0.7,0.06811,0.92531,0.835512,0.771689
0.9,0.8,0.0833,0.918612,0.839795,0.765499
0.9,0.9,0.09698,0.937008,0.837787,0.750356
0.9,1.0,0.10251,0.940382,0.843987,0.743522
1.0,0.1,0.05034,0.834072,0.850582,0.848435
1.0,0.2,0.06329,0.841376,0.852272,0.828698
1.0,0.3,0.06291,0.840108,0.851142,0.817218
1.0,0.4,0.07033,0.866805,0.854526,0.813448
1.0,0.5,0.0708,0.871712,0.855831,0.795577
1.0,0.6,0.06038,0.922906,0.855532,0.7866
1.0,0.7,0.07529,0.912098,0.85427,0.778573
1.0,0.8,0.08623,0.89711,0.857735,0.769677
1.0,0.9,0.0895,0.923772,0.854335,0.755979
1.0,1.0,0.09847,0.930773,0.851962,0.747038
