epsilon,lambda,CTX,SSI,ERR(RA)
0.1,0.1,0.18218,0.792455,0.592339
0.1,0.2,0.18699,0.820748,0.591537
0.1,0.3,0.19295,0.815727,0.590506
0.1,0.4,0.19467,0.846437,0.590534
0.1,0.5,0.19999,0.843676,0.589979
0.1,0.6,0.19822,0.875337,0.5967
0.1,0.7,0.20216,0.893446,0.592057
0.1,0.8,0.20944,0.89653,0.589534
0.1,0.9,0.22221,0.907116,0.590198
0.1,1.0,0.2231,0.927163,0.585034
0.2,0.1,0.14579,0.819148,0.642653
0.2,0.2,0.14839,0.810199,0.649293
0.2,0.3,0.156,0.821701,0.639837
0.2,0.4,0.1607,0.845286,0.643063
0.2,0.5,0.16556,0.863922,0.643359
0.2,0.6,0.16863,0.880986,0.641682
0.2,0.7,0.16734,0.901382,0.646024
0.2,0.8,0.17148,0.91013,0.648704
0.2,0.9,0.18562,0.923111,0.643465
0.2,1.0,0.18648,0.922462,0.647094
0.3,0.1,0.12436,0.787807,0.692992
0.3,0.2,0.12661,0.818297,0.693076
0.3,0.3,0.13148,0.824394,0.69273
0.3,0.4,0.13617,0.84597,0.688379
0.3,0.5,0.14106,0.857825,0.684927
0.3,0.6,0.13976,0.874296,0.690255
0.3,0.7,0.14595,0.901793,0.685137
0.3,0.8,0.15281,0.905368,0.688876
0.3,0.9,0.16018,0.923827,0.688183
0.3,1.0,0.1658,0.924039,0.685955
0.4,0.1,0.11387,0.809142,0.723744
0.4,0.2,0.10937,0.838812,0.72841
0.4,0.3,0.11729,0.832371,0.729235
0.4,0.4,0.12391,0.836607,0.722671
0.4,0.5,0.12347,0.860212,0.724266
0.4,0.6,0.12884,0.879616,0.726714
0.4,0.7,0.13317,0.88804,0.721703
0.4,0.8,0.13933,0.898158,0.726492
0.4,0.9,0.14932,0.931357,0.722861
0.4,1.0,0.15601,0.927677,0.724746
0.5,0.1,0.10278,0.819513,0.753061
0.5,0.2,0.10384,0.813539,0.752653
0.5,0.3,0.10889,0.816717,0.7583
0.5,0.4,0.11037,0.835557,0.757921
0.5,0.5,0.11505,0.841771,0.756371
0.5,0.6,0.11615,0.873743,0.751016
0.5,0.7,0.12351,0.889406,0.75541
0.5,0.8,0.13146,0.905306,0.755036
0.5,0.9,0.13276,0.914705,0.756489
0.5,1.0,0.14126,0.914169,0.754225
0.6,0.1,0.0921,0.806713,0.775817
0.6,0.2,0.09582,0.829291,0.780981
0.6,0.3,0.09925,0.820108,0.789881
0.6,0.4,0.10445,0.823702,0.779955
0.6,0.5,0.10824,0.86474,0.781594
0.6,0.6,0.10774,0.880366,0.782285
0.6,0.7,0.11432,0.889153,0.777582
0.6,0.8,0.12006,0.904775,0.780232
0.6,0.9,0.13069,0.922032,0.778087
0.6,1.0,0.13601,0.929943,0.783518
0.7,0.1,0.08514,0.805279,0.80633
0.7,0.2,0.08695,0.820185,0.800645
0.7,0.3,0.09261,0.812502,0.804115
0.7,0.4,0.09555,0.832591,0.805116
0.7,0.5,0.09916,0.841755,0.801961
0.7,0.6,0.10101,0.877614,0.804041
0.7,0.7,0.10793,0.890502,0.80099
0.7,0.8,0.11451,0.905548,0.804589
0.7,0.9,0.12304,0.926975,0.799948
0.7,1.0,0.13324,0.918427,0.801668
0.8,0.1,0.08245,0.814704,0.822895
0.8,0.2,0.08381,0.799191,0.823393
0.8,0.3,0.09,0.814495,0.816452
0.8,0.4,0.09122,0.843886,0.826478
0.8,0.5,0.09291,0.839427,0.82308
0.8,0.6,0.09905,0.881169,0.822093
0.8,0.7,0.10111,0.890026,0.823323
0.8,0.8,0.11034,0.902046,0.820771
0.8,0.9,0.1173,0.914339,0.821692
0.8,1.0,0.12526,0.916653,0.823093
0.9,0.1,0.07908,0.833094,0.836398
0.9,0.2,0.07803,0.821165,0.838756
0.9,0.3,0.08338,0.825447,0.838622
0.9,0.4,0.08652,0.82987,0.84218
0.9,0.5,0.08978,0.852001,0.836686
0.9,0.6,0.09245,0.877684,0.836968
0.9,0.7,0.09483,0.900537,0.8409
0.9,0.8,0.10127,0.917307,0.839376
0.9,0.9,0.11621,0.906927,0.834271
0.9,1.0,0.12071,0.917196,0.839669
1.0,0.1,0.07503,0.793614,0.855563
1.0,0.2,0.07686,0.806776,0.855282
1.0,0.3,0.08128,0.806582,0.855644
1.0,0.4,0.08326,0.842655,0.851546
1.0,0.5,0.08387,0.848415,0.853977
1.0,0.6,0.08894,0.881413,0.850919
1.0,0.7,0.09252,0.894498,0.853802
1.0,0.8,0.10315,0.892593,0.850386
1.0,0.9,0.10926,0.912259,0.855238
1.0,1.0,0.12077,0.91826,0.851122
1.1,0.1,0.07393,0.787633,0.874061
1.1,0.2,0.07565,0.815354,0.865539
1.1,0.3,0.078,0.804763,0.867293
1.1,0.4,0.08131,0.840522,0.864142
1.1,0.5,0.08314,0.843602,0.864951
1.1,0.6,0.08463,0.863509,0.867899
1.1,0.7,0.09428,0.890229,0.869265
1.1,0.8,0.10197,0.899818,0.863016
1.1,0.9,0.10868,0.904789,0.865702
1.1,1.0,0.11362,0.915756,0.869675
1.2,0.1,0.0696,0.793882,0.877995
1.2,0.2,0.07,0.804205,0.879987
1.2,0.3,0.07606,0.823454,0.880777
1.2,0.4,0.07677,0.840792,0.883871
1.2,0.5,0.08112,0.850735,0.877364
1.2,0.6,0.08676,0.886699,0.878239
1.2,0.7,0.09343,0.884564,0.875894
1.2,0.8,0.09178,0.900804,0.882269
1.2,0.9,0.1025,0.905847,0.880301
1.2,1.0,0.11323,0.921141,0.882872
1.3,0.1,0.06761,0.801228,0.891526
1.3,0.2,0.07049,0.804835,0.890401
1.3,0.3,0.07365,0.830385,0.890664
1.3,0.4,0.07642,0.846607,0.887801
1.3,0.5,0.07936,0.845221,0.888213
1.3,0.6,0.08099,0.888595,0.885571
1.3,0.7,0.0861,0.894659,0.890472
1.3,0.8,0.08879,0.890513,0.891701
1.3,0.9,0.10597,0.922212,0.895172
1.3,1.0,0.1119,0.910298,0.892795
1.4,0.1,0.06418,0.797537,0.902421
1.4,0.2,0.06797,0.79446,0.904797
1.4,0.3,0.07345,0.804953,0.899983
1.4,0.4,0.07687,0.839444,0.899046
1.4,0.5,0.08031,0.850226,0.903761
1.4,0.6,0.08071,0.877386,0.899588
1.4,0.7,0.08741,0.885132,0.898291
1.4,0.8,0.09353,0.890873,0.898362
1.4,0.9,0.10074,0.916599,0.901221
1.4,1.0,0.11039,0.917918,0.900583
1.5,0.1,0.06324,0.800889,0.91069
1.5,0.2,0.06703,0.798101,0.907977
1.5,0.3,0.06925,0.817501,0.911318
1.5,0.4,0.07268,0.839748,0.908595
1.5,0.5,0.07538,0.843126,0.911344
1.5,0.6,0.07941,0.878999,0.909974
1.5,0.7,0.08433,0.890995,0.909271
1.5,0.8,0.08736,0.909755,0.908638
1.5,0.9,0.10038,0.905795,0.909243
1.5,1.0,0.10932,0.919994,0.909444
1.6,0.1,0.06136,0.796874,0.918246
1.6,0.2,0.06466,0.795719,0.919877
1.6,0.3,0.06845,0.813231,0.920087
1.6,0.4,0.0718,0.83037,0.915736
1.6,0.5,0.07139,0.849263,0.91591
1.6,0.6,0.07661,0.872532,0.918844
1.6,0.7,0.07845,0.889717,0.918151
1.6,0.8,0.09065,0.899959,0.919264
1.6,0.9,0.10169,0.915212,0.919476
1.6,1.0,0.10794,0.924187,0.919785
1.7,0.1,0.06226,0.790631,0.923518
1.7,0.2,0.0608,0.812467,0.923866
1.7,0.3,0.06666,0.820567,0.928862
1.7,0.4,0.07381,0.832231,0.924847
1.7,0.5,0.07344,0.849111,0.92408
1.7,0.6,0.07618,0.888118,0.924503
1.7,0.7,0.08345,0.890922,0.92588
1.7,0.8,0.09072,0.897309,0.924454
1.7,0.9,0.09733,0.909131,0.922137
1.7,1.0,0.10792,0.914576,0.926631
1.8,0.1,0.06321,0.803368,0.931551
1.8,0.2,0.06189,0.811612,0.933684
1.8,0.3,0.0667,0.822984,0.930403
1.8,0.4,0.06942,0.830123,0.929891
1.8,0.5,0.0726,0.85027,0.93001
1.8,0.6,0.07517,0.878834,0.932572
1.8,0.7,0.08299,0.877911,0.932374
1.8,0.8,0.08601,0.88539,0.932435
1.8,0.9,0.0965,0.908066,0.932844
1.8,1.0,0.10573,0.929045,0.930081
1.9,0.1,0.05824,0.795432,0.940303
1.9,0.2,0.06124,0.79447,0.936118
1.9,0.3,0.0655,0.825876,0.938773
1.9,0.4,0.06885,0.839872,0.936794
1.9,0.5,0.07001,0.853881,0.939884
1.9,0.6,0.07501,0.875408,0.934559
1.9,0.7,0.07807,0.895464,0.935214
1.9,0.8,0.08618,0.895111,0.936274
1.9,0.9,0.09852,0.914588,0.939806
1.9,1.0,0.10625,0.925323,0.938908
2.0,0.1,0.06094,0.799944,0.946338
2.0,0.2,0.06527,0.797925,0.944662
2.0,0.3,0.06496,0.827241,0.943229
2.0,0.4,0.07131,0.848014,0.945537
2.0,0.5,0.07042,0.847476,0.94305
2.0,0.6,0.07345,0.89578,0.943357
2.0,0.7,0.08021,0.893485,0.945939
2.0,0.8,0.08782,0.901159,0.943695
2.0,0.9,0.09748,0.914754,0.941804
2.0,1.0,0.10528,0.930489,0.945273
2.1,0.1,0.05972,0.801019,0.9492
2.1,0.2,0.06271,0.80717,0.949779
2.1,0.3,0.06436,0.815244,0.951976
2.1,0.4,0.0696,0.831172,0.95007
2.1,0.5,0.06955,0.848001,0.948643
2.1,0.6,0.07214,0.883613,0.949567
2.1,0.7,0.07288,0.899257,0.949933
2.1,0.8,0.08703,0.896248,0.948667
2.1,0.9,0.09391,0.90647,0.949879
2.1,1.0,0.10323,0.921495,0.946142
2.2,0.1,0.05685,0.820763,0.959301
2.2,0.2,0.06052,0.798368,0.953718
2.2,0.3,0.06187,0.808186,0.955975
2.2,0.4,0.06533,0.837344,0.95435
2.2,0.5,0.06914,0.846779,0.952674
2.2,0.6,0.0738,0.888357,0.952363
2.2,0.7,0.07168,0.885473,0.952853
2.2,0.8,0.07911,0.907255,0.954431
2.2,0.9,0.09287,0.914922,0.954115
2.2,1.0,0.10228,0.919718,0.953423
2.3,0.1,0.05581,0.810613,0.954354
2.3,0.2,0.05737,0.807619,0.95957
2.3,0.3,0.06108,0.832376,0.956869
2.3,0.4,0.06812,0.846009,0.95854
2.3,0.5,0.06748,0.840815,0.957261
2.3,0.6,0.07198,0.87448,0.95792
2.3,0.7,0.07875,0.892214,0.957122
2.3,0.8,0.08566,0.891658,0.958402
2.3,0.9,0.0935,0.914223,0.958786
2.3,1.0,0.10234,0.915922,0.959171
2.4,0.1,0.06113,0.799869,0.961924
2.4,0.2,0.05683,0.797515,0.96192
2.4,0.3,0.06283,0.821283,0.960222
2.4,0.4,0.06447,0.836141,0.964874
2.4,0.5,0.06637,0.843944,0.962819
2.4,0.6,0.07361,0.883829,0.962219
2.4,0.7,0.06959,0.895118,0.959942
2.4,0.8,0.08526,0.898774,0.960433
2.4,0.9,0.09347,0.909284,0.961119
2.4,1.0,0.0999,0.922415,0.962418
2.5,0.1,0.05776,0.793311,0.966181
2.5,0.2,0.05908,0.814634,0.963695
2.5,0.3,0.06089,0.813226,0.96472
2.5,0.4,0.06358,0.830848,0.968433
2.5,0.5,0.067,0.847535,0.964362
2.5,0.6,0.06959,0.87967,0.966217
2.5,0.7,0.07816,0.889951,0.964338
2.5,0.8,0.08515,0.897393,0.96394
2.5,0.9,0.09103,0.911003,0.967596
2.5,1.0,0.10096,0.916081,0.962365
2.6,0.1,0.0544,0.803062,0.968398
2.6,0.2,0.05704,0.788231,0.96696
2.6,0.3,0.06052,0.831356,0.968503
2.6,0.4,0.06357,0.841202,0.967458
2.6,0.5,0.06555,0.847306,0.970449
2.6,0.6,0.06991,0.878964,0.97169
2.6,0.7,0.07466,0.895402,0.96864
2.6,0.8,0.0832,0.902177,0.967635
2.6,0.9,0.09239,0.913574,0.967689
2.6,1.0,0.09831,0.902054,0.96888
2.7,0.1,0.05505,0.813921,0.97227
2.7,0.2,0.06081,0.796543,0.970753
2.7,0.3,0.0594,0.815307,0.972944
2.7,0.4,0.06351,0.833809,0.970108
2.7,0.5,0.06593,0.850759,0.972897
2.7,0.6,0.07145,0.883352,0.971131
2.7,0.7,0.0741,0.888977,0.970728
2.7,0.8,0.0829,0.89115,0.973245
2.7,0.9,0.0911,0.911312,0.972001
2.7,1.0,0.1012,0.907578,0.972883
2.8,0.1,0.05374,0.819884,0.973656
2.8,0.2,0.05543,0.818512,0.972096
2.8,0.3,0.05903,0.810326,0.97381
2.8,0.4,0.065,0.832083,0.973773
2.8,0.5,0.06589,0.85759,0.974039
2.8,0.6,0.07238,0.880336,0.974372
2.8,0.7,0.07496,0.883134,0.974891
2.8,0.8,0.08343,0.892058,0.97299
2.8,0.9,0.09035,0.914682,0.976167
2.8,1.0,0.09977,0.920895,0.974774
2.9,0.1,0.05548,0.812789,0.975016
2.9,0.2,0.05385,0.808849,0.977336
2.9,0.3,0.05933,0.819001,0.977454
2.9,0.4,0.06144,0.833354,0.978537
2.9,0.5,0.06502,0.847622,0.976774
2.9,0.6,0.06802,0.885287,0.977668
2.9,0.7,0.07447,0.895039,0.977265
2.9,0.8,0.07742,0.895949,0.976927
2.9,0.9,0.09095,0.915655,0.97441
2.9,1.0,0.09824,0.915366,0.977789
3.0,0.1,0.05568,0.800307,0.978994
3.0,0.2,0.05518,0.817258,0.977163
3.0,0.3,0.05803,0.819547,0.978234
3.0,0.4,0.06486,0.841675,0.97913
3.0,0.5,0.06425,0.843603,0.979051
3.0,0.6,0.06868,0.877421,0.979129
3.0,0.7,0.07262,0.893696,0.978184
3.0,0.8,0.08453,0.89532,0.977534
3.0,0.9,0.09274,0.906534,0.978285
3.0,1.0,0.09814,0.913021,0.978225
3.1,0.1,0.05236,0.799942,0.981072
3.1,0.2,0.05218,0.813318,0.980856
3.1,0.3,0.05907,0.815898,0.982627
3.1,0.4,0.06314,0.824289,0.980986
3.1,0.5,0.06423,0.837671,0.980527
3.1,0.6,0.06749,0.878376,0.979893
3.1,0.7,0.07349,0.884529,0.981275
3.1,0.8,0.08173,0.898672,0.981339
3.1,0.9,0.08934,0.904919,0.980907
3.1,1.0,0.10002,0.914427,0.980927
3.2,0.1,0.05322,0.807983,0.983687
3.2,0.2,0.05677,0.809221,0.98172
3.2,0.3,0.06017,0.827842,0.980518
3.2,0.4,0.06519,0.832483,0.983176
3.2,0.5,0.06475,0.851565,0.983931
3.2,0.6,0.06787,0.880909,0.98264
3.2,0.7,0.07106,0.885861,0.982062
3.2,0.8,0.08308,0.894392,0.982861
3.2,0.9,0.09123,0.901587,0.983859
3.2,1.0,0.10015,0.926424,0.982148
3.3,0.1,0.04518,0.823998,0.984568
3.3,0.2,0.05595,0.812912,0.983446
3.3,0.3,0.05888,0.819461,0.984633
3.3,0.4,0.06483,0.835209,0.982673
3.3,0.5,0.06349,0.858641,0.983475
3.3,0.6,0.06793,0.884013,0.983437
3.3,0.7,0.07208,0.893519,0.98343
3.3,0.8,0.08148,0.899942,0.986361
3.3,0.9,0.09127,0.918098,0.983795
3.3,1.0,0.09738,0.906695,0.984827
3.4,0.1,0.05502,0.8073,0.987265
3.4,0.2,0.05606,0.810196,0.985924
3.4,0.3,0.05895,0.819958,0.984779
3.4,0.4,0.06096,0.822273,0.984479
3.4,0.5,0.06423,0.842653,0.986344
3.4,0.6,0.06672,0.872908,0.985763
3.4,0.7,0.07305,0.88992,0.982847
3.4,0.8,0.08197,0.899402,0.986467
3.4,0.9,0.08954,0.918135,0.986279
3.4,1.0,0.09895,0.922252,0.986252
3.5,0.1,0.0519,0.801863,0.987324
3.5,0.2,0.05545,0.809372,0.987344
3.5,0.3,0.05859,0.81521,0.986518
3.5,0.4,0.0648,0.828431,0.986411
3.5,0.5,0.06305,0.840841,0.98683
3.5,0.6,0.06956,0.881733,0.988534
3.5,0.7,0.07195,0.890599,0.987115
3.5,0.8,0.0812,0.895372,0.987462
3.5,0.9,0.08929,0.919003,0.987107
3.5,1.0,0.09583,0.919261,0.986026
3.6,0.1,0.05337,0.821255,0.988558
3.6,0.2,0.05514,0.814521,0.988569
3.6,0.3,0.05841,0.821252,0.987151
3.6,0.4,0.06472,0.828099,0.988769
3.6,0.5,0.06426,0.85707,0.987652
3.6,0.6,0.06813,0.876531,0.988399
3.6,0.7,0.07607,0.896102,0.98888
3.6,0.8,0.07664,0.902817,0.988729
3.6,0.9,0.08784,0.910455,0.986748
3.6,1.0,0.09712,0.91841,0.988427
3.7,0.1,0.05247,0.809899,0.989449
3.7,0.2,0.0562,0.810047,0.989077
3.7,0.3,0.05797,0.825714,0.987753
3.7,0.4,0.06296,0.832087,0.989964
3.7,0.5,0.06764,0.844401,0.988715
3.7,0.6,0.06621,0.870019,0.989959
3.7,0.7,0.06992,0.896824,0.990106
3.7,0.8,0.07732,0.909181,0.988149
3.7,0.9,0.09001,0.914048,0.98932
3.7,1.0,0.09891,0.922041,0.988849
3.8,0.1,0.0507,0.800814,0.991348
3.8,0.2,0.05794,0.815214,0.990866
3.8,0.3,0.05699,0.816657,0.990471
3.8,0.4,0.06097,0.832462,0.989777
